_NAME_,_500_1238,_500_1448,_500_1622,_500_1780,_500_313,_500_563,_500_740,_453_703,_453_819,_453_1053,_453_299,_453_1676,_453_1814,_453_1131,_453_1434,_480_679,_480_819,_480_1033,_480_1165,_480_1305,_480_1427,_480_124,_480_242,_480_492,_480_1617,_480_1847,_405_178,_405_354,_405_722,_405_807,_405_1033,_405_1257,_405_1401,_405_1570,_405_1773,_511_796,_511_1003,_511_1425,_511_1576,_511_1821,_511_242,_511_440
OTU_37,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0.044256121,0,0.003766478,0.006591337,0
OTU_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0.002824859,0,0,0,0,0,0,0,0,0,0
OTU_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001883239,0,0,0,0,0,0
OTU_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_50,0,0,0,0,0,0.00094162,0,0,0.00094162,0,0,0,0,0,0,0.000000018,0,0,0.009416196,0,0,0,0,0,0,0,0.00094162,0.00094162,0.001883239,0.001883239,0.00094162,0,0.00094162,0.00094162,0,0,0,0,0,0,0,0
OTU_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004708098,0.02165725,0,0,0,0
OTU_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_58,0.00942,0,0.001883239,0.00094162,0,0,0.007532957,0.06873823,0.003766478,0.037664783,0.062146893,0.00094162,0.001883239,0.015065913,0.003766478,0.00094162,0.000942,0.001883239,0,0.009416196,0,0.0023376,0.009999998,0.001883239,0.00094162,0.057438795,0.044256121,0.044256121,0.008474576,0.065913371,0.02354049,0.076271186,0.009887,0,0.003766478,0,0.00094162,0,0.00999999,0.00094162,0.00127,0.0009988
OTU_59,0.00100984,0.00094162,0,0.00094162,0.006591337,0.008474576,0.00094162,0.026365348,0.002824859,0.101694915,0,0.009416196,0.015065913,0.010357815,0.006591337,0.006591337,0.00094162,0.123352166,0.064971751,0.031073446,0,0.0003798,0.025423729,0.00094162,0.004708098,0.009416196,0.048964218,0.0913371,0.028248588,0.050847458,0.032015066,0.039548023,0,0.00789,0.00094162,0,0.00094162,0.008474576,0,0.00094162,0.0008779,0.00189
OTU_60,0.00593,0.00094162,0,0.005649718,0,0.001883239,0.002824859,0.027306968,0.007532957,0.018832392,0,0.001883239,0.009416196,0.030131827,0.00094162,0.019774011,0.00589,0.115819209,0.001883239,0.02165725,0.029190207,0,0.006591337,0.001883239,0.005649718,0.006591337,0.04519774,0.044256121,0.04519774,0.02354049,0.016949153,0.058380414,0.005649718,0.001883239,0.016949153,0.0069,0.00377,0.005649718,0.001883239,0.001883239,0.0025677,0.00093378
OTU_61,0,0,0,0,0,0,0,0,0.003766478,0.001883239,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0.00094162,0.00094162,0.001883239,0.00094162,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0
OTU_62,0,0,0,0,0.015065913,0.001883239,0,0.00094162,0,0,0,0,0.00094162,0.010357815,0,0.016007533,0,0,0,0,0,0,0,0,0,0,0.00094162,0.00094162,0,0.00094162,0,0.002824859,0,0,0,0,0.001883239,0,0,0,0,0
OTU_63,0.00097432,0.001883239,0,0.008474576,0.108286252,0.074387947,0.001883239,0.010357815,0.015065913,0.001883239,0.063088512,0,0.144067797,0.02354049,0.026365348,0.064971751,0.00094162,0.089453861,0.124293785,0.053672316,0,0.002824859,0.126177024,0.023376,0.059322034,0,0.096986817,0.071563089,0.144067797,0.02259887,0.050847458,0.150659134,0.024171198,0.00988,0.004708098,0.0009421,0.004708098,0.00094162,0.00709,0.00094162,0.004777,0.00188
OTU_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0
OTU_65,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0
OTU_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0,0,0.003766478,0,0,0,0,0,0,0,0,0,0
OTU_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_70,0.0021134,0,0.003502,0.00094162,0.00094162,0.007532957,0,0.001883239,0.00094162,0.006591337,0,0.00094162,0.003766478,0.001883239,0,0.001883239,0.002825,0.004708098,0,0.002824859,0.001883239,0,0.007532957,0.001222,0,0.00094162,0.003766478,0.012241055,0.00094162,0.020715631,0.016007533,0.095103578,0.03888,0,0.002699,0,0.000899,0,0.00094162,0,0.00075362,0.00092626
OTU_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_72,0,0.00094162,0,0.00094162,0,0.00094162,0,0,0.00094162,0.007532957,0.032015066,0,0.036723164,0,0,0,0,0.00094162,0,0,0.00094162,0,0.00094162,0,0,0,0,0.002824859,0.00094162,0,0.00094162,0.034839925,0,0.00094162,0,0.00094162,0,0,0,0,0,0
OTU_73,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003766478,0,0,0,0
OTU_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002824859,0,0,0,0
OTU_76,0,0,0,0,0,0,0,0.002824859,0.001883239,0,0,0,0,0,0,0.001883239,0,0,0,0.008474576,0,0,0,0,0,0.00094162,0,0.009416196,0,0.002824859,0.016949153,0,0,0,0,0,0,0,0,0,0,0
OTU_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_79,0,0,0,0,0,0,0,0.00094162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094162,0,0.009416196,0,0,0,0
OTU_80,0.0047647,0.004708098,0,0.002824859,0,0.00094162,0.00094162,0.007532957,0.048022599,0.079096045,0.032956685,0.003766478,0.027306968,0.017890772,0.012241055,0.02259887,0.00942,0.017890772,0.00094162,0.049905838,0,0.006887,0.014124294,0.009877,0.098870056,0.061205273,0.032956685,0.019774011,0,0.013182674,0.019774011,0.036723164,0.00094162,0,0.013182674,0.00876,0.00094162,0,0.00656,0,0.00094162,0.0951
OTU_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
